© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Workspace	My Projects
Project	Alicia-IPA
Analysis	OlderChildren-Combined - 2017-12-07 12:37 PM
Date	Thu Dec 07 09:38:01 PST 2017
Analysis ID	15776121

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Cancer, Organismal Injury and Abnormalities	tumorigenesis	Tumorigenesis of tissue	1.79E-03	 	 	 	 	ERI3,DAPK2,DMAP1,SOGA1,C1orf198,SLC25A33,MITF,BAG2,PLGRKT,LRIG1,PCYT1A,PRR25,ATP2C1,LRP12,DNAH17,ASCC1,ARID3A,NCK1,TLE4,RHBDD2,ABCB9,C15orf54,NFIA,PSMC3IP,CITED2,KIF3B,IGF1R,PRR35,ACP5,TFF2,TMEM131,SMARCD3,CS,ZNF862,EVL,ATPAF2,SEC16B,AP5B1,FOXP1,RHOBTB2,NAPA,NOM1,TMEM104,LPCAT2,IKZF3,CYB561,MS4A2,KRT19,MED27,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,HK2,PHF19,ST3GAL1,TLDC2,PPP2CA,ITIH4,COL15A1,TMEM41A,IL4,VKORC1L1,NISCH,ATL3,CLEC12A,ACOT7,GSE1,KAT6B,BANK1,RBL2,BNIP3L,EHF,ANKRD7,OSBPL3,GDF5OS,IRF6,TRAPPC9,LPIN1,RALB,TNIK,DICER1,ADCY3,FBXW8,PRKCH,GPI,ELOVL7,SLC25A25,SLC7A1,SAFB2,DDIT4,ENG,KIF26A,CATSPER4,PDE6H,SLC2A9,RPTOR,RPS6KA2,SHANK2,SUGT1,ZFPM1,YWHAQ,SIGLEC8,MECR,METRNL,ATXN7L1,VPS52,KCNH2,POLR2B,ERMAP,STEAP3,EGFLAM,FBP1,PMP22,SERINC5,KIF5C,ANGPT2,SLC17A4,MSMP,TOMM34,IL5RA,NCSTN,GID4,CTSB,MCC,FOXK2,IRGC	128	
Cell-To-Cell Signaling and Interaction	activation	Activation of cells	1.80E-03	 	 	 	 	PRG2,TANK,SIGLEC8,PTGDR2,ANGPT2,FOXP1,DDIT4,IL4,METRNL,IL5RA,PRG3,CLEC12A,IRF6,TFF2,EPX,PRKCZ,NCK1,BANK1,RNASE2,PPP2CA	20	
Hematological System Development and Function, Humoral Immune Response, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of B lymphocytes	1.80E-03	 	 	 	 	TANK,RPTOR,CTSB,IL4,IL5RA,PRKCH,IKZF3,ARID3A,BANK1,TLE4	10	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Hypersensitivity Response, Immune Cell Trafficking, Inflammatory Response	activation	Activation of mast cells	1.84E-03	 	 	 	 	PRG2,SIGLEC8,IL4,EPX	4	
Cell Death and Survival	cell death	Cell death of lymphatic system cells	1.88E-03	 	 	 	 	LRIG1,DICER1,FOXP1,CTSB,BNIP3L,STEAP3,DDIT4,IL4,IL5RA,TLE4,ST3GAL1	11	
Cancer, Cardiovascular Disease, Organismal Injury and Abnormalities	formation	Formation of angioma	1.93E-03	 	 	 	 	ANGPT2,DICER1,IKZF3,KAT6B	4	
Cardiovascular Disease, Developmental Disorder	congenital anomaly of cardiovascular system	Congenital anomaly of cardiovascular system	1.95E-03	 	 	 	 	NCSTN,ANGPT2,DICER1,RBL2,ENG,KAT6B,CITED2,KCNH2	8	
Cancer, Organismal Injury and Abnormalities	neoplasia	Neoplasia of epithelial tissue	2.02E-03	 	 	 	 	ERI3,DAPK2,DMAP1,SOGA1,C1orf198,SLC25A33,MITF,BAG2,PLGRKT,LRIG1,PCYT1A,PRR25,ATP2C1,LRP12,DNAH17,ASCC1,ARID3A,NCK1,TLE4,RHBDD2,ABCB9,C15orf54,NFIA,PSMC3IP,CITED2,KIF3B,IGF1R,PRR35,ACP5,TFF2,TMEM131,SMARCD3,CS,ZNF862,EVL,ATPAF2,SEC16B,AP5B1,FOXP1,RHOBTB2,NAPA,NOM1,TMEM104,LPCAT2,IKZF3,CYB561,MS4A2,KRT19,MED27,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,HK2,PHF19,ST3GAL1,TLDC2,PPP2CA,ITIH4,COL15A1,TMEM41A,IL4,VKORC1L1,NISCH,ATL3,CLEC12A,ACOT7,GSE1,KAT6B,BANK1,RBL2,BNIP3L,EHF,OSBPL3,GDF5OS,IRF6,TRAPPC9,LPIN1,RALB,TNIK,DICER1,ADCY3,FBXW8,PRKCH,GPI,ELOVL7,SLC25A25,SLC7A1,SAFB2,DDIT4,ENG,KIF26A,CATSPER4,PDE6H,SLC2A9,RPTOR,RPS6KA2,SHANK2,SUGT1,ZFPM1,YWHAQ,SIGLEC8,MECR,METRNL,ATXN7L1,VPS52,KCNH2,POLR2B,ERMAP,STEAP3,EGFLAM,FBP1,PMP22,SERINC5,KIF5C,ANGPT2,SLC17A4,MSMP,TOMM34,IL5RA,NCSTN,GID4,CTSB,MCC,FOXK2,IRGC	127	
Cellular Growth and Proliferation	colony formation	Colony formation of tumor cell lines	2.08E-03	 	 	 	 	IGF1R,KRT19,DMAP1,DICER1,RBL2,CTSB,IL4,EHF,MITF	9	
Cellular Growth and Proliferation, Connective Tissue Development and Function, Tissue Development	proliferation	Proliferation of connective tissue cells	2.08E-03	 	 	 	 	RBL2,IL4,ENG,CITED2,IRF6,IGF1R,NCSTN,LRIG1,DICER1,CTSB,PRKCH,PGAM2,ARID3A,GPI	14	
Cell Morphology	abnormal morphology	Abnormal morphology of cells	2.09E-03	 	 	 	 	ZFPM1,RBL2,BNIP3L,HEXA,ATP2C1,STEAP3,EGFLAM,STX1B,PRKCH,ARID3A,PMP22,SLC7A1,COL15A1,IL4,IL5RA,NFIA,PSMC3IP,KIF26A,CITED2,KIF3B,IGF1R,RPS6KA2,CTSB,SHANK2,PPT2	25	
Hematological Disease	anisopoikilocytosis	Anisopoikilocytosis	2.13E-03	 	 	 	 	SLC7A1,STEAP3	2	
Free Radical Scavenging	synthesis	Synthesis of reactive oxygen species	2.14E-03	 	 	 	 	PRG2,IRF6,ITIH4,ANGPT2,BNIP3L,SHANK2,DDIT4,IL4,FBP1,PRKCZ,HK2,PRG3	12	
Cell Cycle, Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation	contact growth inhibition	Contact growth inhibition	2.16E-03	 	 	 	 	IGF1R,RBL2,IL4,IKZF3,PRKCZ,GPI	6	
Cell Death and Survival, Embryonic Development	cell death	Cell death of embryonic cell lines	2.27E-03	 	 	 	 	IGF1R,TANK,YWHAQ,RBL2,CTSB,BNIP3L,DDIT4,HK2,CITED2,PMP22	10	
Cellular Assembly and Organization, Cellular Function and Maintenance	organization	Organization of cytoplasm	2.27E-03	 	 	 	 	SEC16B,CSRP1,SLC25A33,HEXA,MS4A2,LPIN1,RALB,TNIK,ADCY3,DICER1,FBXW8,ATP2C1,LRP12,PRKCH,PRKCZ,NCK1,GPI,PMP22,PPP2CA,KIF5C,ANGPT2,ENG,NFIA,ATL3,KIF3B,IGF1R,SHANK2,EVL	28	
Hematological System Development and Function, Tissue Morphology	quantity	Quantity of leukocytes	2.28E-03	 	 	 	 	TANK,SIGLEC8,PTGDR2,RBL2,IL4,IL5RA,IKZF3,IRF6,IGF1R,RPTOR,DICER1,CTSB,PRKCH,ARID3A,BANK1,TLE4,ST3GAL1,PPT2,PPP2CA	19	
Cell Cycle	cell cycle progression	Cell cycle progression	2.30E-03	 	 	 	 	RHOBTB2,RBL2,DDIT4,IL4,EHF,MITF,IKZF3,CITED2,IRF6,IGF1R,LRIG1,KRT19,RPTOR,DICER1,RPS6KA2,SUGT1,PRKCH,PGAM2,PRKCZ,GPI,PPP2CA	21	
Cellular Movement	invasion	Invasion of tumor cell lines	2.31E-03	 	 	 	 	YWHAQ,FOXP1,MITF,IRF6,PLGRKT,IGF1R,RALB,KRT19,LRIG1,RPTOR,DICER1,CTSB,TFF2,PRKCZ,ST3GAL1,GPI	16	
Cell Cycle	cell cycle progression	Arrest in cell cycle progression of tumor cell lines	2.33E-03	 	 	 	 	IGF1R,KRT19,RBL2,DDIT4,EHF,PRKCH	6	
Hematological System Development and Function, Humoral Immune Response, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of B-1a lymphocytes	2.39E-03	 	 	 	 	RPTOR,ARID3A,BANK1	3	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	myelopoiesis	Myelopoiesis of leukocytes	2.41E-03	 	 	 	 	IGF1R,ZFPM1,RALB,SIGLEC8,FOXP1,IL4,CITED2	7	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	proliferation	Proliferation of lymphocytes	2.49E-03	 	 	 	 	TANK,RBL2,IL4,IL5RA,IKZF3,IRF6,NCSTN,LPIN1,RPTOR,DICER1,PCYT1A,PRKCH,PRKCZ,BANK1,NCK1,GPI	16	
Cell Cycle	cell cycle progression	Cell cycle progression of prostate cancer cell lines	2.58E-03	 	 	 	 	LRIG1,DDIT4,EHF	3	
Cancer, Cellular Development, Cellular Growth and Proliferation, Organismal Injury and Abnormalities, Tumor Morphology	colony formation	Colony formation of cancer cells	2.58E-03	 	 	 	 	DICER1,CTSB,SUGT1	3	
Carbohydrate Metabolism	metabolism	Metabolism of monosaccharide	2.58E-03	 	 	 	 	IGF1R,NISCH,FBP1,HK2,GPI	5	
Cell-mediated Immune Response, Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Lymphoid Tissue Structure and Development	homing	Homing of Th2 cells	2.59E-03	 	 	 	 	PTGDR2,IL4	2	
Cellular Movement	invasion	Invasion of lymphoma cell lines	2.59E-03	 	 	 	 	PLGRKT,CTSB	2	
Cell Death and Survival, Hematological System Development and Function	survival	Survival of follicular B lymphocytes	2.59E-03	 	 	 	 	DICER1,IL4	2	
Cell Morphology, Hair and Skin Development and Function	transepithelial electrical resistance	Transepithelial electrical resistance of colorectal cancer cell lines	2.59E-03	 	 	 	 	IL4,PPP2CA	2	
Cellular Growth and Proliferation, Lymphoid Tissue Structure and Development	proliferation	Proliferation of lymphatic system cells	2.59E-03	 	 	 	 	TANK,RBL2,IL4,IL5RA,IKZF3,IRF6,IGF1R,LPIN1,NCSTN,RPTOR,DICER1,PCYT1A,PRKCH,PRKCZ,NCK1,BANK1,GPI	17	
Cell Death and Survival	cell death	Cell death of tumor cell lines	2.68E-03	 	 	 	 	DAPK2,RHOBTB2,RBL2,NAPA,BNIP3L,EHF,MITF,RALB,LRIG1,DICER1,EMG1,PRKCH,PRKCZ,HK2,ST3GAL1,TLDC2,GPI,PPP2CA,ANGPT2,DDIT4,IL4,ENG,NR0B2,IGF1R,RPTOR,CTSB,CS,FOXK2	28	
Gene Expression	activation	Activation of DNA endogenous promoter	2.74E-03	 	 	 	 	ZFPM1,DMAP1,IL4,EHF,ENG,MITF,NFIA,PSMC3IP,IKZF3,CITED2,NR0B2,POLR2B,IRF6,LPIN1,DICER1,MED27,FOXK2,IRF2BPL,ARID3A,PHF19,NCK1,TLE4,PPP2CA	23	
Free Radical Scavenging	production	Production of superoxide	2.75E-03	 	 	 	 	PRG2,ANGPT2,IL4,PRKCZ,PRG3	5	
Cancer, Organismal Injury and Abnormalities	metastasis	Metastasis of tumor cell lines	2.79E-03	 	 	 	 	IGF1R,RALB,ANGPT2,RPTOR,DICER1,CTSB,GPI	7	
Cancer, Organismal Injury and Abnormalities	epithelial cancer	Carcinoma	2.88E-03	 	 	 	 	ERI3,DAPK2,DMAP1,SOGA1,C1orf198,SLC25A33,MITF,BAG2,PLGRKT,LRIG1,PCYT1A,PRR25,ATP2C1,LRP12,DNAH17,ASCC1,ARID3A,NCK1,TLE4,RHBDD2,ABCB9,C15orf54,NFIA,PSMC3IP,CITED2,KIF3B,IGF1R,PRR35,ACP5,TFF2,TMEM131,CS,ZNF862,EVL,ATPAF2,SEC16B,AP5B1,FOXP1,RHOBTB2,NAPA,NOM1,TMEM104,LPCAT2,IKZF3,CYB561,MS4A2,KRT19,MED27,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,HK2,PHF19,ST3GAL1,TLDC2,PPP2CA,ITIH4,COL15A1,TMEM41A,IL4,VKORC1L1,NISCH,ATL3,CLEC12A,ACOT7,GSE1,KAT6B,BANK1,RBL2,BNIP3L,EHF,OSBPL3,GDF5OS,IRF6,TRAPPC9,LPIN1,RALB,TNIK,DICER1,ADCY3,FBXW8,PRKCH,GPI,ELOVL7,SLC25A25,SLC7A1,SAFB2,DDIT4,ENG,KIF26A,CATSPER4,PDE6H,SLC2A9,RPTOR,RPS6KA2,SHANK2,SUGT1,ZFPM1,YWHAQ,SIGLEC8,MECR,METRNL,ATXN7L1,VPS52,KCNH2,POLR2B,ERMAP,STEAP3,EGFLAM,FBP1,PMP22,SERINC5,KIF5C,ANGPT2,SLC17A4,MSMP,TOMM34,IL5RA,NCSTN,GID4,CTSB,MCC,FOXK2,IRGC	126	
Cell Morphology, Cellular Assembly and Organization, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Nervous System Development and Function, Organismal Development, Tissue Development	neuritogenesis	Neuritogenesis	2.91E-03	 	 	 	 	CSRP1,NFIA,KIF3B,IGF1R,RALB,TNIK,ADCY3,DICER1,FBXW8,SHANK2,LRP12,PRKCZ,PMP22,PPP2CA	14	
Cell Morphology	morphology	Morphology of leukocytes	2.93E-03	 	 	 	 	PRG2,RPTOR,IL4,IL5RA,PRKCH,EPX,MITF,ARID3A,PRKCZ	9	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of leukocytes	2.95E-03	 	 	 	 	PRG2,PTGDR2,SIGLEC8,ANGPT2,FOXP1,IL4,METRNL,IL5RA,PRG3,IRF6,TFF2,EPX,BANK1,NCK1,RNASE2	15	
Tissue Morphology	quantity	Quantity of epithelial tissue	3.01E-03	 	 	 	 	IGF1R,ANGPT2,DICER1,TFF2,CTSB,MITF	6	
Cardiovascular System Development and Function, Tissue Morphology	contraction	Contraction of vein	3.09E-03	 	 	 	 	DICER1,IL4	2	
Cellular Assembly and Organization, Cellular Compromise, Cellular Function and Maintenance	instability	Instability of microtubules	3.09E-03	 	 	 	 	KIF5C,KIF3B	2	
Cancer, Organismal Injury and Abnormalities	non-melanoma solid tumor	Non-melanoma solid tumor	3.11E-03	 	 	 	 	ERI3,DAPK2,DMAP1,SOGA1,C1orf198,SLC25A33,MITF,BAG2,PLGRKT,LRIG1,PCYT1A,PRR25,ATP2C1,LRP12,DNAH17,ASCC1,ARID3A,NCK1,TLE4,RHBDD2,ABCB9,C15orf54,NFIA,PSMC3IP,CITED2,KIF3B,IGF1R,PRR35,ACP5,TFF2,TMEM131,SMARCD3,CS,ZNF862,EVL,ATPAF2,SEC16B,AP5B1,FOXP1,RHOBTB2,NAPA,NOM1,TMEM104,LPCAT2,IKZF3,CYB561,MS4A2,KRT19,MED27,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,HK2,PHF19,ST3GAL1,TLDC2,PPP2CA,ITIH4,COL15A1,TMEM41A,IL4,VKORC1L1,NISCH,ATL3,CLEC12A,ACOT7,GSE1,KAT6B,BANK1,RBL2,BNIP3L,EHF,OSBPL3,GDF5OS,IRF6,TRAPPC9,LPIN1,RALB,TNIK,DICER1,ADCY3,FBXW8,PRKCH,GPI,ELOVL7,SLC25A25,SLC7A1,SAFB2,DDIT4,ENG,KIF26A,CATSPER4,PDE6H,SLC2A9,RPTOR,RPS6KA2,SHANK2,SUGT1,ZFPM1,YWHAQ,SIGLEC8,MECR,METRNL,ATXN7L1,VPS52,KCNH2,POLR2B,ERMAP,STEAP3,EGFLAM,FBP1,PMP22,SERINC5,KIF5C,ANGPT2,SLC17A4,MSMP,TOMM34,IL5RA,NR0B2,NCSTN,GID4,CTSB,MCC,FOXK2,IRGC	128	
Cancer, Endocrine System Disorders, Organismal Injury and Abnormalities	follicular thyroid tumor	Follicular thyroid tumor	3.18E-03	 	 	 	 	KRT19,ANGPT2,CTSB,ENG	4	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	leukopoiesis	Leukopoiesis	3.21E-03	 	 	 	 	ZFPM1,SIGLEC8,FOXP1,RBL2,IL4,IL5RA,IKZF3,CITED2,NR0B2,IGF1R,RALB,RPTOR,DICER1,PRKCH,PRKCZ,ARID3A,TLE4	17	
Cellular Growth and Proliferation, Tissue Development	proliferation	Proliferation of epithelial cells	3.24E-03	 	 	 	 	IRF6,IGF1R,NCSTN,ITIH4,LRIG1,DICER1,RBL2,IL4,MCC,ENG,PRKCH,CITED2	12	
Cell Cycle	cell cycle progression	Cell cycle progression of tumor cell lines	3.26E-03	 	 	 	 	IGF1R,KRT19,LRIG1,RHOBTB2,RBL2,DDIT4,EHF,PRKCH	8	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	cellular infiltration	Cellular infiltration by granulocytes	3.29E-03	 	 	 	 	IRF6,PTGDR2,SIGLEC8,ANGPT2,DICER1,CTSB,IL4	7	
Humoral Immune Response, Protein Synthesis	quantity	Quantity of IgA	3.31E-03	 	 	 	 	TANK,IL4,IL5RA,IKZF3	4	
Cellular Development	differentiation	Delay in differentiation of cells	3.41E-03	 	 	 	 	IGF1R,ATP2C1,CTSB	3	
Cell Cycle	fission	Fission	3.41E-03	 	 	 	 	SEC16B,LPIN1,RPTOR	3	
Cancer, Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	skin papilloma	Skin papilloma	3.41E-03	 	 	 	 	ATP2C1,ENG,PRKCH	3	
Endocrine System Disorders, Organismal Injury and Abnormalities	nodular goiter	Nodular goiter	3.63E-03	 	 	 	 	KRT19,DICER1	2	
Cell Morphology, Cellular Assembly and Organization, Cellular Function and Maintenance	reorganization	Reorganization of actin cytoskeleton	3.84E-03	 	 	 	 	LPIN1,TNIK,ATP2C1,ENG,PRKCZ	5	
Cell Death and Survival	apoptosis	Apoptosis of tumor cell lines	3.85E-03	 	 	 	 	DAPK2,ANGPT2,RHOBTB2,RBL2,NAPA,BNIP3L,DDIT4,IL4,EHF,ENG,MITF,NR0B2,IGF1R,RALB,RPTOR,DICER1,CTSB,CS,FOXK2,PRKCZ,HK2,ST3GAL1,PPP2CA	23	
Cell Death and Survival, Organismal Injury and Abnormalities, Respiratory Disease	cell death	Cell death of lung cells	3.88E-03	 	 	 	 	IGF1R,PRG2,EPX	3	
Cell Death and Survival	cell death	Cell death of mononuclear leukocytes	3.93E-03	 	 	 	 	LRIG1,DICER1,FOXP1,CTSB,DDIT4,IL4,IL5RA,TLE4,ST3GAL1,MS4A2	10	
Cardiovascular Disease, Developmental Disorder, Organismal Injury and Abnormalities	congenital heart disease	Congenital heart disease	4.00E-03	 	 	 	 	NCSTN,DICER1,RBL2,ENG,KAT6B,CITED2,KCNH2	7	
Cellular Movement	invasion	Invasion of carcinoma cell lines	4.00E-03	 	 	 	 	IRF6,RALB,FOXP1,CTSB,MITF,PRKCZ,ST3GAL1	7	
Cardiovascular Disease, Hematological Disease, Metabolic Disease	hypercholesterolemia	Hypercholesterolemia	4.05E-03	 	 	 	 	ITIH4,LPIN1,RPTOR,NR0B2	4	
Humoral Immune Response, Protein Synthesis	quantity	Quantity of IgG1	4.19E-03	 	 	 	 	TANK,IL4,IL5RA,IKZF3,ARID3A	5	
Cell Morphology	cell flattening	Cell flattening of tumor cell lines	4.22E-03	 	 	 	 	RBL2,PRKCH	2	
Cellular Movement	cell movement	Cell movement of prostate cell lines	4.22E-03	 	 	 	 	IGF1R,ENG	2	
Cellular Compromise, Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	damage	Damage of hepatocytes	4.22E-03	 	 	 	 	IGF1R,DICER1	2	
Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization, Cellular Function and Maintenance, Molecular Transport	priming	Priming of synaptic vesicles	4.22E-03	 	 	 	 	NAPA,STX1B	2	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Humoral Immune Response, Lymphoid Tissue Structure and Development	proliferation	Proliferation of germinal center B lymphocytes	4.22E-03	 	 	 	 	DICER1,IL4	2	
Cell Morphology	size	Size of antigen presenting cells	4.22E-03	 	 	 	 	RPTOR,IL4	2	
Cell Morphology, Cellular Assembly and Organization, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Nervous System Development and Function, Organismal Development, Tissue Development	axonogenesis	Axonogenesis	4.24E-03	 	 	 	 	IGF1R,ADCY3,DICER1,NFIA,PRKCZ,PMP22,PPP2CA	7	
Cellular Development	epithelial-mesenchymal transition	Epithelial-mesenchymal transition	4.24E-03	 	 	 	 	IGF1R,RPTOR,DICER1,SLC25A33,PRKCZ,GPI,PPP2CA	7	
Organismal Injury and Abnormalities	abnormal ratio tissue	Abnormal ratio tissue	4.37E-03	 	 	 	 	KRT19,IL5RA,ENG,PRKCZ	4	
Organismal Injury and Abnormalities, Renal and Urological Disease	hydronephrosis	Hydronephrosis	4.37E-03	 	 	 	 	IGF1R,SLC2A9,IL4,NFIA	4	
Dermatological Diseases and Conditions, Organ Morphology, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of hair follicle	4.39E-03	 	 	 	 	IGF1R,DICER1,RBL2	3	
Cell Death and Survival, Organismal Injury and Abnormalities	apoptosis	Apoptosis of epithelial cells	4.41E-03	 	 	 	 	ITIH4,DICER1,RBL2,CTSB,IL4,ENG,MITF,NR0B2	8	
Dermatological Diseases and Conditions, Organ Morphology, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of epidermis	4.43E-03	 	 	 	 	IGF1R,LRIG1,DICER1,RBL2,CTSB	5	
Cancer, Organismal Injury and Abnormalities	neck neoplasm	Neck neoplasm	4.45E-03	 	 	 	 	ANGPT2,COL15A1,FOXP1,IL4,IL5RA,ENG,KIF26A,IRF6,IGF1R,TRAPPC9,TNIK,KRT19,RPTOR,DICER1,CTSB,MCC,DNAH17,PHF19,TLE4	19	
Cell-To-Cell Signaling and Interaction	detachment	Detachment of cells	4.54E-03	 	 	 	 	IGF1R,ANGPT2,NAPA,ENG	4	
Molecular Transport, Small Molecule Biochemistry	release	Release of histamine	4.66E-03	 	 	 	 	PRG2,IL4,PRG3	3	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	development	Development of plasma cells	4.85E-03	 	 	 	 	DICER1,IL4	2	
Cellular Movement	dissemination	Dissemination of tumor cells	4.85E-03	 	 	 	 	IGF1R,ANGPT2	2	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	migration	Migration of B-lymphocyte derived cell lines	4.85E-03	 	 	 	 	PTGDR2,ENG	2	
Cellular Movement, Nervous System Development and Function	migration	Migration of cerebellar granule cell	4.85E-03	 	 	 	 	IGF1R,NFIA	2	
Cellular Movement	migration	Migration of myeloma cell lines	4.85E-03	 	 	 	 	IGF1R,RALB	2	
Cell-To-Cell Signaling and Interaction, Cellular Movement	recruitment	Recruitment of muscle cells	4.85E-03	 	 	 	 	IL4,ENG	2	
Cell Morphology	enlargement	Enlargement of cells	4.87E-03	 	 	 	 	DAPK2,LPIN1,ANGPT2,DICER1,RPS6KA2,CTSB,IL4,PRKCH,PMP22	9	
Cell Death and Survival, Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	apoptosis	Apoptosis of hepatocytes	4.94E-03	 	 	 	 	ITIH4,DICER1,CTSB,IL4,NR0B2	5	
Cellular Development, Cellular Growth and Proliferation, Digestive System Development and Function, Hepatic System Development and Function, Organ Development	proliferation	Proliferation of liver cells	5.21E-03	 	 	 	 	IGF1R,ITIH4,DICER1,CTSB,IL4,CITED2	6	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Tissue Development	cell proliferation	Cell proliferation of fibroblasts	5.37E-03	 	 	 	 	IGF1R,NCSTN,CTSB,IL4,ENG,PGAM2,ARID3A,CITED2,GPI	9	
Cellular Function and Maintenance	homeostasis	Homeostasis of blood cells	5.51E-03	 	 	 	 	ZFPM1,FOXP1,RBL2,IL4,IL5RA,NR0B2,IGF1R,NCSTN,RPTOR,DICER1,PRKCH,PRKCZ,GPI	13	
Tissue Development	accumulation	Accumulation of lymphatic system cells	5.51E-03	 	 	 	 	NCSTN,IL4	2	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of Th2 cells	5.51E-03	 	 	 	 	PTGDR2,IL4	2	
Cellular Growth and Proliferation	colony formation	Colony formation of stomach cancer cell lines	5.51E-03	 	 	 	 	IGF1R,DMAP1	2	
Cardiovascular System Development and Function, Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organismal Development, Tissue Development	development	Development of PBMCs	5.51E-03	 	 	 	 	DICER1,IL4	2	
Cellular Development, Cellular Growth and Proliferation, Organ Development, Skeletal and Muscular System Development and Function, Tissue Development	proliferation	Proliferation of skeletal muscle cells	5.51E-03	 	 	 	 	IGF1R,ANGPT2	2	
Cell Morphology, Cellular Assembly and Organization, Cellular Function and Maintenance	reorganization	Reorganization of cytoskeleton	5.66E-03	 	 	 	 	LPIN1,TNIK,ATP2C1,ENG,PRKCZ,MS4A2	6	
Cell Death and Survival	cell viability	Cell viability	5.72E-03	 	 	 	 	TANK,SIGLEC8,PTGDR2,ANGPT2,SLC7A1,IL4,ENG,MITF,IGF1R,NCSTN,RALB,LRIG1,KRT19,RPTOR,DICER1,ATP2C1,CTSB,SMARCD3,STX1B,PRKCH,PRKCZ,HK2,RNASE2,PPP2CA	24	
Cellular Assembly and Organization, Cellular Function and Maintenance	organization	Microtubule dynamics	5.78E-03	 	 	 	 	KIF5C,ANGPT2,CSRP1,ENG,NFIA,MS4A2,KIF3B,IGF1R,RALB,TNIK,ADCY3,DICER1,FBXW8,ATP2C1,SHANK2,LRP12,PRKCH,EVL,PRKCZ,NCK1,PMP22,PPP2CA	22	
Carbohydrate Metabolism, Small Molecule Biochemistry	metabolism	Metabolism of D-hexose	5.84E-03	 	 	 	 	IGF1R,NISCH,FBP1,HK2	4	
Cellular Development, Cellular Growth and Proliferation	proliferation	Proliferation of blood cells	5.85E-03	 	 	 	 	TANK,RBL2,IL4,IL5RA,IKZF3,IRF6,IGF1R,LPIN1,NCSTN,RPTOR,DICER1,PCYT1A,PRKCH,PRKCZ,NCK1,BANK1,GPI	17	
Cancer, Cardiovascular Disease, Organismal Injury and Abnormalities	hemangioma	Hemangioma	5.93E-03	 	 	 	 	IGF1R,ANGPT2,DICER1,IKZF3,KAT6B	5	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	cell viability	Cell viability of cancer cells	6.04E-03	 	 	 	 	IGF1R,RALB,IL4,MITF	4	
Cell Death and Survival	cell death	Cell death of B lymphocytes	6.09E-03	 	 	 	 	LRIG1,DICER1,FOXP1,CTSB,IL4	5	
